location,parameter,value,unit,measured_at
Qoryah Darussalam,pm10,53.3409226735433,µg/m³,2024-03-13T22:00:00Z
Qoryah Darussalam,pm10,50.10074424743652,µg/m³,2024-03-13T23:00:00Z
Qoryah Darussalam,pm10,42.950743993123375,µg/m³,2024-03-14T13:00:00Z
Qoryah Darussalam,pm10,53.198065439860024,µg/m³,2024-03-14T14:00:00Z
Qoryah Darussalam,pm10,53.87157726287842,µg/m³,2024-03-14T15:00:00Z
Qoryah Darussalam,pm10,33.8511905670166,µg/m³,2024-03-14T17:00:00Z
Qoryah Darussalam,pm10,21.84002987543742,µg/m³,2024-03-14T18:00:00Z
Qoryah Darussalam,pm10,22.789880911509197,µg/m³,2024-03-14T19:00:00Z
Qoryah Darussalam,pm10,29.450446764628094,µg/m³,2024-03-15T01:00:00Z
Qoryah Darussalam,pm10,32.07232137521108,µg/m³,2024-03-15T02:00:00Z
Qoryah Darussalam,pm10,5.9845238129297895,µg/m³,2024-03-15T03:00:00Z
Qoryah Darussalam,pm10,10.149702390034994,µg/m³,2024-03-15T05:00:00Z
Qoryah Darussalam,pm10,9.298214435577393,µg/m³,2024-03-15T06:00:00Z
Qoryah Darussalam,pm10,11.655208190282186,µg/m³,2024-03-15T07:00:00Z
Qoryah Darussalam,pm10,16.448065598805744,µg/m³,2024-03-15T08:00:00Z
Qoryah Darussalam,pm10,21.90238110224406,µg/m³,2024-03-15T09:00:00Z
Qoryah Darussalam,pm10,29.137648900349934,µg/m³,2024-03-15T10:00:00Z
Qoryah Darussalam,pm10,27.058332920074463,µg/m³,2024-03-15T11:00:00Z
Qoryah Darussalam,pm10,15.768750031789144,µg/m³,2024-03-15T12:00:00Z
Qoryah Darussalam,pm10,23.757142702738445,µg/m³,2024-03-15T13:00:00Z
Qoryah Darussalam,pm10,30.888392607371014,µg/m³,2024-03-15T14:00:00Z
Qoryah Darussalam,pm10,39.48616075515747,µg/m³,2024-03-15T15:00:00Z
Qoryah Darussalam,pm10,23.592410643895466,µg/m³,2024-03-15T16:00:00Z
Qoryah Darussalam,pm10,11.477827509244284,µg/m³,2024-03-15T17:00:00Z
Qoryah Darussalam,pm10,1.252380944788456,µg/m³,2024-03-07T23:00:00Z
Qoryah Darussalam,pm10,11.399107257525126,µg/m³,2024-03-08T00:00:00Z
Qoryah Darussalam,pm10,35.5113091468811,µg/m³,2024-03-08T01:00:00Z
Qoryah Darussalam,pm10,34.98154830932617,µg/m³,2024-03-08T02:00:00Z
Qoryah Darussalam,pm10,23.75565505027771,µg/m³,2024-03-08T03:00:00Z
Qoryah Darussalam,pm10,10.708333253860474,µg/m³,2024-03-08T04:00:00Z
Qoryah Darussalam,pm10,10.272619088490805,µg/m³,2024-03-08T05:00:00Z
Qoryah Darussalam,pm10,5.92961311340332,µg/m³,2024-03-08T06:00:00Z
Qoryah Darussalam,pm10,7.625297665596008,µg/m³,2024-03-08T07:00:00Z
Qoryah Darussalam,pm10,10.030357122421265,µg/m³,2024-03-08T08:00:00Z
Qoryah Darussalam,pm10,15.137202262878418,µg/m³,2024-03-08T09:00:00Z
Qoryah Darussalam,pm10,22.51592246691386,µg/m³,2024-03-08T10:00:00Z
Qoryah Darussalam,pm10,37.72053575515747,µg/m³,2024-03-08T11:00:00Z
Qoryah Darussalam,pm10,23.029315789540608,µg/m³,2024-03-08T12:00:00Z
Qoryah Darussalam,pm10,24.744791666666668,µg/m³,2024-03-08T13:00:00Z
Qoryah Darussalam,pm10,19.903868834177654,µg/m³,2024-03-08T14:00:00Z
Qoryah Darussalam,pm10,17.89241075515747,µg/m³,2024-03-08T15:00:00Z
Qoryah Darussalam,pm10,14.519940455754599,µg/m³,2024-03-08T16:00:00Z
Qoryah Darussalam,pm10,10.179017941157023,µg/m³,2024-03-08T17:00:00Z
Qoryah Darussalam,pm10,16.2029763062795,µg/m³,2024-03-08T18:00:00Z
Qoryah Darussalam,pm10,15.140178759892782,µg/m³,2024-03-08T19:00:00Z
Qoryah Darussalam,pm10,12.877678553263346,µg/m³,2024-03-08T20:00:00Z
Qoryah Darussalam,pm10,21.902827262878418,µg/m³,2024-03-08T21:00:00Z
Qoryah Darussalam,pm10,25.283928553263348,µg/m³,2024-03-08T22:00:00Z
Qoryah Darussalam,pm10,21.913541475931805,µg/m³,2024-03-08T23:00:00Z
Qoryah Darussalam,pm10,15.584523916244507,µg/m³,2024-03-09T00:00:00Z
Qoryah Darussalam,pm10,11.04508932431539,µg/m³,2024-03-09T01:00:00Z
Qoryah Darussalam,pm10,12.999851067860922,µg/m³,2024-03-09T02:00:00Z
Qoryah Darussalam,pm10,12.20104161898295,µg/m³,2024-03-09T03:00:00Z
Qoryah Darussalam,pm10,19.081944624582928,µg/m³,2024-03-09T04:00:00Z
Qoryah Darussalam,pm10,22.590625286102295,µg/m³,2024-03-09T05:00:00Z
Qoryah Darussalam,pm10,16.397767941157024,µg/m³,2024-03-09T06:00:00Z
Qoryah Darussalam,pm10,21.37485122680664,µg/m³,2024-03-09T07:00:00Z
Qoryah Darussalam,pm10,23.871726195017498,µg/m³,2024-03-09T08:00:00Z
Qoryah Darussalam,pm10,42.40491040547689,µg/m³,2024-03-09T09:00:00Z
Qoryah Darussalam,pm10,39.161458333333336,µg/m³,2024-03-09T10:00:00Z
Qoryah Darussalam,pm10,74.4825890858968,µg/m³,2024-03-09T11:00:00Z
Qoryah Darussalam,pm10,83.53496996561687,µg/m³,2024-03-09T12:00:00Z
Qoryah Darussalam,pm10,77.8537203470866,µg/m³,2024-03-09T13:00:00Z
Qoryah Darussalam,pm10,103.56473159790039,µg/m³,2024-03-09T14:00:00Z
Qoryah Darussalam,pm10,121.03868993123372,µg/m³,2024-03-09T15:00:00Z
Qoryah Darussalam,pm10,119.65759023030598,µg/m³,2024-03-09T16:00:00Z
Qoryah Darussalam,pm10,91.77351188659668,µg/m³,2024-03-09T17:00:00Z
Qoryah Darussalam,pm10,79.34583282470703,µg/m³,2024-03-09T18:00:00Z
Qoryah Darussalam,pm10,74.28809483846028,µg/m³,2024-03-09T19:00:00Z
Qoryah Darussalam,pm25,31.10000006357829,µg/m³,2023-09-12T10:00:00Z
Qoryah Darussalam,pm25,36.329166412353516,µg/m³,2023-09-12T11:00:00Z
Qoryah Darussalam,pm25,42.61666679382324,µg/m³,2023-09-12T12:00:00Z
Qoryah Darussalam,pm25,45.77499961853027,µg/m³,2023-09-12T13:00:00Z
Qoryah Darussalam,pm25,51.91666603088379,µg/m³,2023-09-12T14:00:00Z
Qoryah Darussalam,pm25,58.850000063578285,µg/m³,2023-09-12T15:00:00Z
Qoryah Darussalam,pm25,66.77916717529297,µg/m³,2023-09-12T16:00:00Z
Qoryah Darussalam,pm25,84.1416670481364,µg/m³,2023-09-12T17:00:00Z
Qoryah Darussalam,pm25,89.64999961853027,µg/m³,2023-09-12T18:00:00Z
Qoryah Darussalam,pm25,66.78750006357829,µg/m³,2023-09-12T19:00:00Z
Qoryah Darussalam,pm25,54.29583326975504,µg/m³,2023-09-12T20:00:00Z
Qoryah Darussalam,pm25,54.66249974568685,µg/m³,2023-09-12T21:00:00Z
Qoryah Darussalam,pm25,57.3666664759318,µg/m³,2023-09-12T23:00:00Z
Qoryah Darussalam,pm25,64.47083282470703,µg/m³,2023-09-13T00:00:00Z
Qoryah Darussalam,pm25,57.95000012715658,µg/m³,2023-09-13T01:00:00Z
Qoryah Darussalam,pm25,56.60000038146973,µg/m³,2023-09-13T02:00:00Z
Qoryah Darussalam,pm25,67.11249923706055,µg/m³,2023-09-13T03:00:00Z
Qoryah Darussalam,pm25,58.40833346048991,µg/m³,2023-09-13T04:00:00Z
Qoryah Darussalam,pm25,62.07500076293945,µg/m³,2023-09-13T05:00:00Z
Qoryah Darussalam,pm25,60.91666571299235,µg/m³,2023-09-13T06:00:00Z
Qoryah Darussalam,pm25,71.14166641235352,µg/m³,2023-09-13T07:00:00Z
Qoryah Darussalam,pm25,70.25833447774251,µg/m³,2023-09-13T08:00:00Z
Qoryah Darussalam,pm25,55.73750019073486,µg/m³,2023-09-13T09:00:00Z
Qoryah Darussalam,pm25,50.708333333333336,µg/m³,2023-09-13T10:00:00Z
Qoryah Darussalam,pm25,50.23749987284342,µg/m³,2023-09-13T11:00:00Z
Qoryah Darussalam,pm25,45.041666666666664,µg/m³,2023-09-13T12:00:00Z
Qoryah Darussalam,pm25,49.64583396911621,µg/m³,2023-09-13T13:00:00Z
Qoryah Darussalam,pm25,63.204166412353516,µg/m³,2023-09-13T15:00:00Z
Qoryah Darussalam,pm25,61.45416673024496,µg/m³,2023-09-13T16:00:00Z
Qoryah Darussalam,pm25,37.34166685740153,µg/m³,2023-09-13T18:00:00Z
Qoryah Darussalam,pm25,35.6875,µg/m³,2023-09-13T19:00:00Z
Qoryah Darussalam,pm25,33.55000082651774,µg/m³,2023-09-13T20:00:00Z
Qoryah Darussalam,pm25,33.65416685740153,µg/m³,2023-09-13T21:00:00Z
Qoryah Darussalam,pm25,33.25416564941406,µg/m³,2023-09-13T22:00:00Z
Qoryah Darussalam,pm25,36.212499936421715,µg/m³,2023-09-13T23:00:00Z
Qoryah Darussalam,pm25,41.39999961853027,µg/m³,2023-09-14T00:00:00Z
Qoryah Darussalam,pm25,53.183332761128746,µg/m³,2023-09-14T01:00:00Z
Qoryah Darussalam,pm25,49.337499936421715,µg/m³,2023-09-14T02:00:00Z
Qoryah Darussalam,pm25,46.00833320617676,µg/m³,2023-09-14T03:00:00Z
Qoryah Darussalam,pm25,48.566665967305504,µg/m³,2023-09-14T04:00:00Z
Qoryah Darussalam,pm25,46.99166615804037,µg/m³,2023-09-14T06:00:00Z
Qoryah Darussalam,pm25,53.86666615804037,µg/m³,2023-09-14T07:00:00Z
Qoryah Darussalam,pm25,56.29166634877523,µg/m³,2023-09-14T08:00:00Z
Qoryah Darussalam,pm25,54.916666666666664,µg/m³,2023-09-14T09:00:00Z
Qoryah Darussalam,pm25,58.291666984558105,µg/m³,2023-09-14T10:00:00Z
Qoryah Darussalam,pm25,51.983333587646484,µg/m³,2023-09-14T11:00:00Z
Qoryah Darussalam,pm25,50.65833250681559,µg/m³,2023-09-14T12:00:00Z
Qoryah Darussalam,pm25,53.374999364217125,µg/m³,2023-09-14T13:00:00Z
Qoryah Darussalam,pm25,61.08749930063883,µg/m³,2023-09-14T14:00:00Z
Qoryah Darussalam,pm25,75.83333333333333,µg/m³,2023-09-14T15:00:00Z
Qoryah Darussalam,pm25,76.13333511352539,µg/m³,2023-09-14T16:00:00Z
Qoryah Darussalam,pm25,79.43333562215169,µg/m³,2023-09-14T17:00:00Z
Qoryah Darussalam,pm25,65.3791659673055,µg/m³,2023-09-14T18:00:00Z
Qoryah Darussalam,pm25,60.07500044504801,µg/m³,2023-09-14T19:00:00Z
Qoryah Darussalam,pm25,51.83750025431315,µg/m³,2023-09-14T20:00:00Z
Qoryah Darussalam,pm25,50.120834032694496,µg/m³,2023-09-14T21:00:00Z
Qoryah Darussalam,pm25,50.09166590372721,µg/m³,2023-09-14T22:00:00Z
Qoryah Darussalam,pm25,52.37083339691162,µg/m³,2023-09-14T23:00:00Z
Qoryah Darussalam,pm25,67.95416577657063,µg/m³,2023-09-15T00:00:00Z
Qoryah Darussalam,pm25,73.01250012715657,µg/m³,2023-09-15T01:00:00Z
Qoryah Darussalam,pm25,65.35416634877522,µg/m³,2023-09-15T03:00:00Z
Qoryah Darussalam,pm25,55.81666628519694,µg/m³,2023-09-15T04:00:00Z
Qoryah Darussalam,pm25,45.66249974568685,µg/m³,2023-09-15T05:00:00Z
Qoryah Darussalam,pm25,51.71249961853027,µg/m³,2023-09-15T06:00:00Z
Qoryah Darussalam,pm25,53.00833320617676,µg/m³,2023-09-15T07:00:00Z
Qoryah Darussalam,pm25,50.73749987284342,µg/m³,2023-09-15T10:00:00Z
Qoryah Darussalam,pm25,44.63333320617676,µg/m³,2023-09-15T12:00:00Z
Qoryah Darussalam,pm25,48.41249942779541,µg/m³,2023-09-15T13:00:00Z
Qoryah Darussalam,pm25,54.34583282470703,µg/m³,2023-09-15T14:00:00Z
Qoryah Darussalam,pm25,75.8125,µg/m³,2023-09-15T15:00:00Z
Qoryah Darussalam,pm25,77.21666653951009,µg/m³,2023-09-15T16:00:00Z
Qoryah Darussalam,pm25,96.6208324432373,µg/m³,2023-09-15T17:00:00Z
Qoryah Darussalam,pm25,82.33333396911621,µg/m³,2023-09-15T18:00:00Z
Qoryah Darussalam,pm25,79.92499987284343,µg/m³,2023-09-15T19:00:00Z
Qoryah Darussalam,pm25,92.79166666666667,µg/m³,2023-09-15T20:00:00Z
Qoryah Darussalam,pm25,89.64583396911621,µg/m³,2023-09-15T21:00:00Z
Qoryah Darussalam,pm25,73.95833396911621,µg/m³,2023-09-15T22:00:00Z
Qoryah Darussalam,pm25,67.84999974568684,µg/m³,2023-09-15T23:00:00Z
Qoryah Darussalam,pm25,75.00000127156575,µg/m³,2023-09-16T00:00:00Z
Qoryah Darussalam,pm25,93.09166590372722,µg/m³,2023-09-16T01:00:00Z
Qoryah Darussalam,pm25,81.30000178019206,µg/m³,2023-09-16T02:00:00Z
Qoryah Darussalam,pm25,39.79999987284342,µg/m³,2023-09-16T10:00:00Z
Qoryah Darussalam,pm25,52.83749961853027,µg/m³,2023-09-16T11:00:00Z
Qoryah Darussalam,pm25,51.999999364217125,µg/m³,2023-09-16T13:00:00Z
Qoryah Darussalam,pm25,60.416666984558105,µg/m³,2023-09-16T14:00:00Z
Qoryah Darussalam,pm25,60.94583384195963,µg/m³,2023-09-16T15:00:00Z
Qoryah Darussalam,pm25,91.00833384195964,µg/m³,2023-09-16T16:00:00Z
Qoryah Darussalam,pm25,94.77499834696452,µg/m³,2023-09-16T17:00:00Z
Qoryah Darussalam,pm25,89.9208329518636,µg/m³,2023-09-16T18:00:00Z
Qoryah Darussalam,pm25,85.17083358764648,µg/m³,2023-09-16T19:00:00Z
Qoryah Darussalam,pm25,62.524999936421715,µg/m³,2023-09-16T20:00:00Z
Qoryah Darussalam,pm25,50.65833346048991,µg/m³,2023-09-16T21:00:00Z
Qoryah Darussalam,pm25,45.34166685740153,µg/m³,2023-09-16T22:00:00Z
Qoryah Darussalam,pm25,46.60833295186361,µg/m³,2023-09-16T23:00:00Z
Qoryah Darussalam,pm25,54.41250069936117,µg/m³,2023-09-17T00:00:00Z
Qoryah Darussalam,pm25,66.57083352406819,µg/m³,2023-09-17T01:00:00Z
Qoryah Darussalam,pm25,74.97916666666667,µg/m³,2023-09-17T02:00:00Z
Qoryah Darussalam,pm25,68.45416641235352,µg/m³,2023-09-17T03:00:00Z
Qoryah Darussalam,pm25,64.03749815622966,µg/m³,2023-09-17T04:00:00Z
Qoryah Darussalam,pm25,69.77916653951009,µg/m³,2023-09-17T05:00:00Z
Jihan Fauziah Hamdi ,pm10,33.535863081614174,µg/m³,2024-03-06T17:00:00Z
Jihan Fauziah Hamdi ,pm10,23.385416984558105,µg/m³,2024-03-06T18:00:00Z
Jihan Fauziah Hamdi ,pm10,18.956994374593098,µg/m³,2024-03-06T19:00:00Z
Jihan Fauziah Hamdi ,pm10,14.452321434020996,µg/m³,2024-03-06T20:00:00Z
Jihan Fauziah Hamdi ,pm10,11.875,µg/m³,2024-03-06T21:00:00Z
Jihan Fauziah Hamdi ,pm10,8.185714721679688,µg/m³,2024-03-06T22:00:00Z
Jihan Fauziah Hamdi ,pm10,5.9375,µg/m³,2024-03-06T23:00:00Z
Jihan Fauziah Hamdi ,pm10,13.657142639160156,µg/m³,2024-03-07T00:00:00Z
Jihan Fauziah Hamdi ,pm10,10.725000381469727,µg/m³,2024-03-07T01:00:00Z
Jihan Fauziah Hamdi ,pm10,15.471428871154785,µg/m³,2024-03-07T02:00:00Z
Jihan Fauziah Hamdi ,pm10,16.071428298950195,µg/m³,2024-03-07T03:00:00Z
Jihan Fauziah Hamdi ,pm10,12.35714340209961,µg/m³,2024-03-07T04:00:00Z
Jihan Fauziah Hamdi ,pm10,9.514286041259766,µg/m³,2024-03-07T05:00:00Z
Jihan Fauziah Hamdi ,pm10,9.983333587646484,µg/m³,2024-03-07T06:00:00Z
Jihan Fauziah Hamdi ,pm10,82.68571472167969,µg/m³,2024-03-07T07:00:00Z
Jihan Fauziah Hamdi ,pm10,26.02857208251953,µg/m³,2024-03-07T08:00:00Z
Jihan Fauziah Hamdi ,pm10,34.84047603607178,µg/m³,2024-03-07T09:00:00Z
Jihan Fauziah Hamdi ,pm10,68.67142486572266,µg/m³,2024-03-07T10:00:00Z
Jihan Fauziah Hamdi ,pm10,19.14285659790039,µg/m³,2024-03-07T11:00:00Z
Jihan Fauziah Hamdi ,pm10,25.362499237060547,µg/m³,2024-03-07T12:00:00Z
Jihan Fauziah Hamdi ,pm10,29.862499237060547,µg/m³,2024-03-07T13:00:00Z
Jihan Fauziah Hamdi ,pm10,19.814285278320312,µg/m³,2024-03-07T14:00:00Z
Jihan Fauziah Hamdi ,pm10,10.54285717010498,µg/m³,2024-03-07T15:00:00Z
Jihan Fauziah Hamdi ,pm10,8.314285278320312,µg/m³,2024-03-07T16:00:00Z
Jihan Fauziah Hamdi ,pm10,5.27142858505249,µg/m³,2024-03-07T17:00:00Z
Jihan Fauziah Hamdi ,pm10,4.27142858505249,µg/m³,2024-03-07T18:00:00Z
Jihan Fauziah Hamdi ,pm10,3.3142857551574707,µg/m³,2024-03-07T19:00:00Z
Jihan Fauziah Hamdi ,pm10,3.002529740333557,µg/m³,2024-03-07T20:00:00Z
Jihan Fauziah Hamdi ,pm10,2.9784226218859353,µg/m³,2024-03-07T21:00:00Z
Jihan Fauziah Hamdi ,pm10,2.478422631820043,µg/m³,2024-03-07T22:00:00Z
Jihan Fauziah Hamdi ,pm10,2.2249999046325684,µg/m³,2024-03-07T23:00:00Z
Jihan Fauziah Hamdi ,pm10,71.92916615804036,µg/m³,2024-03-09T18:00:00Z
Jihan Fauziah Hamdi ,pm10,68.70208358764648,µg/m³,2024-03-09T19:00:00Z
Jihan Fauziah Hamdi ,pm10,66.54345258076985,µg/m³,2024-03-09T20:00:00Z
Jihan Fauziah Hamdi ,pm10,58.256547609965004,µg/m³,2024-03-09T21:00:00Z
Jihan Fauziah Hamdi ,pm10,62.629910151163735,µg/m³,2024-03-09T22:00:00Z
Jihan Fauziah Hamdi ,pm10,62.10892836252848,µg/m³,2024-03-09T23:00:00Z
Jihan Fauziah Hamdi ,pm10,57.678571701049805,µg/m³,2024-03-10T00:00:00Z
Jihan Fauziah Hamdi ,pm10,65.32232125600179,µg/m³,2024-03-10T01:00:00Z
Jihan Fauziah Hamdi ,pm10,61.62128003438314,µg/m³,2024-03-10T02:00:00Z
Jihan Fauziah Hamdi ,pm10,62.14746952056885,µg/m³,2024-03-10T03:00:00Z
Jihan Fauziah Hamdi ,pm10,109.93824513753255,µg/m³,2024-03-10T04:00:00Z
Jihan Fauziah Hamdi ,pm10,85.35803540547688,µg/m³,2024-03-10T05:00:00Z
Jihan Fauziah Hamdi ,pm10,52.024999936421715,µg/m³,2024-03-10T06:00:00Z
Jihan Fauziah Hamdi ,pm10,55.9144344329834,µg/m³,2024-03-10T07:00:00Z
Jihan Fauziah Hamdi ,pm10,82.58229223887126,µg/m³,2024-03-10T08:00:00Z
Jihan Fauziah Hamdi ,pm10,75.35818576812744,µg/m³,2024-03-10T09:00:00Z
Jihan Fauziah Hamdi ,pm10,96.44970385233562,µg/m³,2024-03-10T10:00:00Z
Jihan Fauziah Hamdi ,pm10,55.199255307515465,µg/m³,2024-03-10T14:00:00Z
Jihan Fauziah Hamdi ,pm10,54.57752990722656,µg/m³,2024-03-10T15:00:00Z
Jihan Fauziah Hamdi ,pm10,56.438541094462074,µg/m³,2024-03-10T16:00:00Z
Jihan Fauziah Hamdi ,pm10,60.15118980407715,µg/m³,2024-03-10T17:00:00Z
Jihan Fauziah Hamdi ,pm10,52.88749980926514,µg/m³,2024-03-10T18:00:00Z
Jihan Fauziah Hamdi ,pm10,54.68883959452311,µg/m³,2024-03-10T19:00:00Z
Jihan Fauziah Hamdi ,pm10,55.76860078175863,µg/m³,2024-03-10T20:00:00Z
Jihan Fauziah Hamdi ,pm10,58.538689931233726,µg/m³,2024-03-10T21:00:00Z
Jihan Fauziah Hamdi ,pm10,52.029911518096924,µg/m³,2024-03-10T22:00:00Z
Jihan Fauziah Hamdi ,pm10,17.659821669260662,µg/m³,2024-03-10T23:00:00Z
Jihan Fauziah Hamdi ,pm10,27.608779748280842,µg/m³,2024-03-11T00:00:00Z
Jihan Fauziah Hamdi ,pm10,40.89732106526693,µg/m³,2024-03-11T01:00:00Z
Jihan Fauziah Hamdi ,pm10,66.6654764811198,µg/m³,2024-03-11T02:00:00Z
Jihan Fauziah Hamdi ,pm10,48.83824348449707,µg/m³,2024-03-11T03:00:00Z
Jihan Fauziah Hamdi ,pm10,42.113094647725426,µg/m³,2024-03-11T04:00:00Z
Jihan Fauziah Hamdi ,pm10,32.50892861684164,µg/m³,2024-03-11T05:00:00Z
Jihan Fauziah Hamdi ,pm10,30.536606788635254,µg/m³,2024-03-11T06:00:00Z
Jihan Fauziah Hamdi ,pm10,38.60029776891073,µg/m³,2024-03-11T07:00:00Z
Jihan Fauziah Hamdi ,pm10,35.164881229400635,µg/m³,2024-03-11T08:00:00Z
Jihan Fauziah Hamdi ,pm10,37.40669600168864,µg/m³,2024-03-11T09:00:00Z
Jihan Fauziah Hamdi ,pm10,26.8942138671875,µg/m³,2024-03-11T10:00:00Z
Jihan Fauziah Hamdi ,pm10,662.5482114156088,µg/m³,2024-03-11T11:00:00Z
Jihan Fauziah Hamdi ,pm10,445.9430109659831,µg/m³,2024-03-11T12:00:00Z
Jihan Fauziah Hamdi ,pm10,207.85416793823242,µg/m³,2024-03-11T14:00:00Z
Jihan Fauziah Hamdi ,pm10,140.4306557973226,µg/m³,2024-03-11T15:00:00Z
Jihan Fauziah Hamdi ,pm10,99.17157745361328,µg/m³,2024-03-11T16:00:00Z
Jihan Fauziah Hamdi ,pm10,71.11398760477702,µg/m³,2024-03-11T17:00:00Z
Jihan Fauziah Hamdi ,pm10,60.76488049825033,µg/m³,2024-03-13T21:00:00Z
Jihan Fauziah Hamdi ,pm10,68.35982163747151,µg/m³,2024-03-13T22:00:00Z
Jihan Fauziah Hamdi ,pm10,68.8007443745931,µg/m³,2024-03-13T23:00:00Z
Jihan Fauziah Hamdi ,pm10,59.0625,µg/m³,2024-03-14T13:00:00Z
Jihan Fauziah Hamdi ,pm10,50.17589282989502,µg/m³,2024-03-14T14:00:00Z
Jihan Fauziah Hamdi ,pm10,49.966071446736656,µg/m³,2024-03-14T15:00:00Z
Jihan Fauziah Hamdi ,pm10,43.44836298624674,µg/m³,2024-03-14T17:00:00Z
Jihan Fauziah Hamdi ,pm10,35.2766367594401,µg/m³,2024-03-14T18:00:00Z
Jihan Fauziah Hamdi ,pm10,30.206250031789143,µg/m³,2024-03-14T19:00:00Z
Jihan Fauziah Hamdi ,pm10,19.792410532633465,µg/m³,2024-03-15T01:00:00Z
Jihan Fauziah Hamdi ,pm10,22.101190249125164,µg/m³,2024-03-15T02:00:00Z
Jihan Fauziah Hamdi ,pm10,36.45565446217855,µg/m³,2024-03-15T03:00:00Z
Jihan Fauziah Hamdi ,pm10,12.39821449915568,µg/m³,2024-03-15T05:00:00Z
Jihan Fauziah Hamdi ,pm10,13.637500047683716,µg/m³,2024-03-15T06:00:00Z
Jihan Fauziah Hamdi ,pm10,20.436755975087483,µg/m³,2024-03-15T07:00:00Z
Jihan Fauziah Hamdi ,pm10,41.3483632405599,µg/m³,2024-03-15T08:00:00Z
Jihan Fauziah Hamdi ,pm10,39.92261950174967,µg/m³,2024-03-15T09:00:00Z
Jihan Fauziah Hamdi ,pm10,34.63869031270345,µg/m³,2024-03-15T10:00:00Z
Jihan Fauziah Hamdi ,pm10,328.2392857869466,µg/m³,2024-03-15T11:00:00Z
Jihan Fauziah Hamdi ,pm10,295.3203868865967,µg/m³,2024-03-15T12:00:00Z
Jihan Fauziah Hamdi ,pm10,64.21592251459758,µg/m³,2024-03-15T13:00:00Z
Jihan Fauziah Hamdi ,pm10,71.59300629297893,µg/m³,2024-03-15T14:00:00Z
Jihan Fauziah Hamdi ,pm10,74.26473236083984,µg/m³,2024-03-15T15:00:00Z
Jihan Fauziah Hamdi ,pm10,69.7068452835083,µg/m³,2024-03-15T16:00:00Z
Jihan Fauziah Hamdi ,pm10,45.90044609705607,µg/m³,2024-03-15T17:00:00Z
Jihan Fauziah Hamdi ,pm10,2.5184524059295654,µg/m³,2024-03-07T23:00:00Z
Jihan Fauziah Hamdi ,pm10,4.5385416348775225,µg/m³,2024-03-08T00:00:00Z
Jihan Fauziah Hamdi ,pm10,8.829613169034323,µg/m³,2024-03-08T01:00:00Z
Jihan Fauziah Hamdi ,pm10,12.537648836771647,µg/m³,2024-03-08T02:00:00Z
Jihan Fauziah Hamdi ,pm10,14.725000063578287,µg/m³,2024-03-08T03:00:00Z
Jihan Fauziah Hamdi ,pm10,14.819940408070883,µg/m³,2024-03-08T04:00:00Z
Jihan Fauziah Hamdi ,pm10,19.14315454165141,µg/m³,2024-03-08T05:00:00Z
Jihan Fauziah Hamdi ,pm10,39.52485100428263,µg/m³,2024-03-08T06:00:00Z
Jihan Fauziah Hamdi ,pm10,67.04255930582683,µg/m³,2024-03-08T07:00:00Z
Jihan Fauziah Hamdi ,pm10,37.934970696767174,µg/m³,2024-03-08T08:00:00Z
Jihan Fauziah Hamdi ,pm10,20.136309305826824,µg/m³,2024-03-08T09:00:00Z
Jihan Fauziah Hamdi ,pm10,16.72455366452535,µg/m³,2024-03-08T10:00:00Z
Jihan Fauziah Hamdi ,pm10,16.63675586382548,µg/m³,2024-03-08T11:00:00Z
Jihan Fauziah Hamdi ,pm10,20.902976195017498,µg/m³,2024-03-08T12:00:00Z
Jihan Fauziah Hamdi ,pm10,17.624107281366985,µg/m³,2024-03-08T13:00:00Z
Jihan Fauziah Hamdi ,pm10,18.383630990982056,µg/m³,2024-03-08T14:00:00Z
Jihan Fauziah Hamdi ,pm10,13.749702374140421,µg/m³,2024-03-08T15:00:00Z
Jihan Fauziah Hamdi ,pm10,20.25357135136922,µg/m³,2024-03-08T16:00:00Z
Jihan Fauziah Hamdi ,pm10,28.921131134033203,µg/m³,2024-03-08T17:00:00Z
Jihan Fauziah Hamdi ,pm10,19.85744047164917,µg/m³,2024-03-08T18:00:00Z
Jihan Fauziah Hamdi ,pm10,21.33541663487752,µg/m³,2024-03-08T19:00:00Z
Jihan Fauziah Hamdi ,pm10,18.15252955754598,µg/m³,2024-03-08T20:00:00Z
Jihan Fauziah Hamdi ,pm10,17.768749952316284,µg/m³,2024-03-08T21:00:00Z
Jihan Fauziah Hamdi ,pm10,13.391368945439657,µg/m³,2024-03-08T22:00:00Z
Jihan Fauziah Hamdi ,pm10,10.817113081614176,µg/m³,2024-03-08T23:00:00Z
Jihan Fauziah Hamdi ,pm10,36.651041666666664,µg/m³,2024-03-09T00:00:00Z
Jihan Fauziah Hamdi ,pm10,17.147172609965008,µg/m³,2024-03-09T01:00:00Z
Jihan Fauziah Hamdi ,pm10,13.633928537368774,µg/m³,2024-03-09T02:00:00Z
Jihan Fauziah Hamdi ,pm10,18.983630975087483,µg/m³,2024-03-09T03:00:00Z
Jihan Fauziah Hamdi ,pm10,23.407588958740234,µg/m³,2024-03-09T04:00:00Z
Jihan Fauziah Hamdi ,pm10,15.526934583981832,µg/m³,2024-03-09T05:00:00Z
Jihan Fauziah Hamdi ,pm10,10.733313600222269,µg/m³,2024-03-09T06:00:00Z
Jihan Fauziah Hamdi ,pm10,12.708184560139975,µg/m³,2024-03-09T07:00:00Z
